name,area,wage,experience,frim,others
HR（招聘数据分析酷狗）,棠下,7k-8k,"7k-8k
                        经验1-3年 / 本科",国利企业,"消费生活,其他 / 上市公司 / 2000人以上"
数据开发,天河区,10k-15k,"10k-15k
                        经验5-10年 / 大专",理行信息,"移动互联网,消费生活 / 未融资 / 15-50人"
大数据开发工程师,芳村,20k-25k,"20k-25k
                        经验3-5年 / 不限",高奈特,"信息安全,数据服务 / 上市公司 / 150-500人"
大数据运维工程师,五山,11k-16k,"11k-16k
                        经验3-5年 / 大专",广东广信通信服务有限公司,"企业服务,信息安全 / 上市公司 / 500-2000人"
数据研发工程师,棠景,13k-15k,"13k-15k
                        经验1-3年 / 本科",欧派,"消费生活,硬件 / 上市公司 / 2000人以上"
高级数据开发工程师,海珠区,15k-30k,"15k-30k
                        经验3-5年 / 本科",信用生活,"移动互联网,金融 / A轮 / 50-150人"
大数据开发工程师,林和,12k-18k,"12k-18k
                        经验1-3年 / 本科",易幻网络,游戏 / 上市公司 / 150-500人
数据运营,番禺区,1k-2k,"1k-2k
                        经验不限 / 大专",广州晶东贸易有限公司,电商 物流丨运输 / 上市公司 / 2000人以上
Java开发工程师（数据处理方向）,天河区,7k-10k,"7k-10k
                        经验1-3年 / 本科",美盈智能,软件开发 / 未融资 / 15-50人
数据分析师,珠江新城,10k-20k,"10k-20k
                        经验3-5年 / 本科",卓牛科技,移动互联网 / 不需要融资 / 15-50人
Java/数据平台开发工程师-广州,越秀区,10k-16k,"10k-16k
                        经验3-5年 / 本科",卓轩科技,"移动互联网,电商 / A轮 / 50-150人"
数据分析专员,天河区,7k-10k,"7k-10k
                        经验1-3年 / 大专",小鹏汽车,汽车丨出行 / B轮 / 2000人以上
数据处理专家,天河区,15k-25k,"15k-25k
                        经验5-10年 / 本科",广发银行信用卡中心,金融 / 不需要融资 / 2000人以上
大数据分析师,五羊新城,10k-20k,"10k-20k
                        经验3-5年 / 本科",南方＋,"移动互联网,其他 / 不需要融资 / 50-150人"
数据库开发,东湖,6k-8k,"6k-8k
                        经验1-3年 / 大专",福建八萃,"移动互联网,企业服务 / 未融资 / 150-500人"
数据算法师 (MJ000304),广州大道南,25k-40k,"25k-40k
                        经验3-5年 / 本科",钱大妈,消费生活 / D轮及以上 / 2000人以上
数据库工程师DBA,天河区,15k-25k,"15k-25k
                        经验3-5年 / 本科",中移互联网,移动互联网 / 不需要融资 / 500-2000人
数据产品经理,石牌,15k-25k,"15k-25k
                        经验3-5年 / 不限",蜘点商业,"移动互联网,电商 / 不需要融资 / 150-500人"
高级大数据运维工程师,同德,13k-17k,"13k-17k
                        经验3-5年 / 不限",广州棒谷科技股份有限公司,电商 / 不需要融资 / 2000人以上
数据工程师,珠江新城,15k-30k,"15k-30k
                        经验3-5年 / 本科",深圳钛铂数据有限公司,软件开发 / 天使轮 / 15-50人
数据库研发工程师,越秀区,15k-30k,"15k-30k
                        经验1-3年 / 本科",建信金科,"金融,软件开发 / 不需要融资 / 2000人以上"
高级数据分析,海珠区,15k-25k,"15k-25k
                        经验5-10年 / 本科",百布,移动互联网 / D轮及以上 / 500-2000人
电商数据分析主任,岭南,8k-9k,"8k-9k
                        经验3-5年 / 本科",谢瑞麟珠宝,电商 / 上市公司 / 2000人以上
数据分析经理,越秀区,10k-15k,"10k-15k
                        经验3-5年 / 本科",快决测,其他 / A轮 / 50-150人
